20000
-23.3	-26.6
20.1	18.8
50	15.5
-13.5	2.89
-1.1	5.81
-12.4	-9.07
43.1	-3.88
34.6	14.1
19.2	-5.79
15.9	2.37
12.4	13.7
-9.91	5.46
22.7	21.8
-34.1	-2.6
12.5	-7.81
8.26	-0.0403
-8.4	0.952
-18.7	-10.7
8.75	11.4
-0.585	-2.05
-27	-1.97
54	-3.59
-4.01	0.695
44	28.4
-0.692	-4.21
-26	-3.49
-16	9.23
23.2	15.6
16.7	-0.946
-1.82	-6.99
15.5	24.2
-0.934	7.51
-54.4	-21.6
39.9	20
-14.6	-9.84
-30.4	-27.2
1.9	8.62
-7.04	-12.1
-31	-24.1
-15.8	-12.7
-32.1	-19.1
14.6	1.71
35.5	27
28.5	16
1.08	1.14
4.52	3.45
10.9	1.87
9.24	2.27
23.1	14.9
7.06	-0.54
-25.6	-15.3
43.2	2.33
-39	-8.23
13.3	0.384
41.6	25.1
11.6	4.77
-29.2	-3.29
-28.3	-5.4
-3.06	-23.6
2.91	12.8
-3.82	-1.05
10.8	16.5
-33.4	1.98
1.03	7.15
-16.1	-3.91
-20.2	-5.35
-10.7	-12.5
30.5	20.4
-8.65	-16.6
-7.31	-16.7
6.03	-11.9
-25.3	-9.78
0.567	4.73
-26.4	-10.5
13.1	4.89
-22.7	2.62
-27.3	-3.91
13.9	10.7
-47.3	3.19
26.7	28.6
-32.9	-5.9
28.8	-1.21
27.1	-0.611
-5.26	-4.37
-9.85	-8.36
-14.9	-3.78
10.1	2.96
-22.3	-18.1
5.68	10.3
-38.8	-6.39
11.6	1.29
-12.6	-19.8
2.54	10.1
-3.4	-1.13
-1.55	-2.17
22	2.12
34.3	16.4
22.9	12.5
-46.9	-19.8
4.9	3.92
-12.4	18.4
19.4	-4.89
-14.6	-6.82
32.5	0.369
8.31	-4.54
-54.1	-20.1
22	8.62
-2.86	-1.94
-8.88	-7.46
26.2	16
-12.3	-8.56
-41.5	-12.9
-11.9	12.1
3.54	19.2
11.9	11.4
33.3	8.39
28.4	24
-13.6	-5.13
20.4	24.4
-5.27	-4.38
11.7	-8.58
-7.84	5.05
-1.17	-8.15
-19.6	-13.7
-4.29	-0.839
14.9	3.93
-4.84	1.13
-34	-11.4
-37.9	1.83
34.9	-2.89
-1.22	0.161
17	-0.543
-1.74	-0.417
-41.3	-18.9
-13.7	-33.1
84.5	30.1
-27.9	-15.3
17.5	19.8
7.65	14.4
-6.11	0.838
5.37	14
-59.5	-28.3
8.69	-8.65
33.7	10.5
-0.999	-7.43
-2	-5.09
34	3.38
-28.1	-9.76
10.9	-9.78
-50.2	-17.1
-0.519	22.3
7.17	-15.9
34.1	19.7
28.8	10.9
7.54	-12
14.9	-1.97
20.2	-3.22
17.6	2.13
7.35	-25.2
-27.6	-25.1
42.9	11.2
-9.25	-6.72
-21.6	-0.191
-20	-17
26.6	-6.76
-16.4	13
37.4	5.84
-2.45	-7.87
1.43	5.68
15.4	6.45
14.1	20.8
31.3	15.3
31.3	8.91
28.3	-7.52
-2.83	-14
26.7	3.69
-16	-19.5
32	34.1
14	10.8
-63.4	-49.6
4.18	13.7
-21.6	-12.5
-55.1	-40.3
-17.1	-1.99
22.3	3.75
-24	-25.8
8.86	-4.14
-35.5	-5.36
14.9	-17.5
-55.8	-23.4
-18.8	-3.69
34.6	8.23
-43.3	-23.5
-23.6	-6.05
16.8	2.36
-40.6	-8.74
11.3	12.8
45	13.9
-35.9	-18.8
40.5	16.6
24.9	7.04
-73.8	-34.9
-61.7	-43.1
8.52	-2
-3.26	0.666
-21.6	-22.4
46.3	13.5
-4.29	26
9.74	21.7
-40.2	0.379
-22	-13.5
-32.6	-0.0556
-3.88	8.9
49	18.6
22.7	16.8
-15.7	-10.4
12	8.02
-45.7	-8.68
28.8	-14.3
10.5	-0.367
-51	-7.2
-11.5	-18.1
-28	-16
42.9	12.3
-3.83	29.7
36.5	-7.35
22.8	17.9
-14.7	-6.96
2.5	27.6
-37.7	-18.9
22.1	16.3
63.2	33.3
3.93	1.08
-26.7	10.9
-30.9	-22
7.23	2.07
2.59	35.1
45.8	1.2
47.4	26.2
-36.2	-1.84
-11.5	3.52
72.7	22
-1.73	8.07
-43.6	-3.93
39.9	15
44.8	18.8
-1.74	-21.8
22.8	3.65
11.4	-13
-26.8	-13.4
18.5	7.36
-9.26	8
-3.49	-17.7
51.1	45.4
-38	-19.5
-8.52	-9.71
-8.56	8.2
40.8	22.8
39	35.7
15.8	9.05
47	2.35
-13.2	-12.3
4.99	-1.31
-3.9	17.7
-9.62	-11.9
-4.29	-6.93
-5.1	-20.9
-52.5	-6.97
-38.1	-0.748
-9.88	-9.75
-14.9	-6.51
-5.97	2.27
16.7	-9.99
-10.8	-2.31
20.5	-6.13
-8.7	2.85
-34.5	-5.53
12.6	-7.32
26.7	29.2
-49.9	-29.9
37.4	12.4
-16.2	1.76
35.9	0.712
-34.7	-4.26
1.33	18.3
30.9	-2.21
29.3	31
9.58	1.76
21	-3.16
-57.3	-31.3
-22.4	-12.6
-15.5	1.99
9.63	2.29
-41.6	-37.2
8.57	-2.81
-28.8	15.8
-27.5	-8.42
30.9	8.08
52.4	16.6
0.772	-5.67
-9.02	-7.87
-17	-11.3
11.9	-4.19
-13	-16.8
14.9	-7.06
2.22	9.97
5.52	-2.39
-13	-14.6
-14.4	1.66
38.9	-6.16
3.17	-5.53
-21.3	-3.11
-19.4	9.26
14.6	3.79
-56.6	-13.8
-24.3	5.39
-32.1	-0.391
-12.5	-16.5
10.2	13.6
4.87	-11.2
-42.5	-38.3
26.8	1.46
15.9	24.1
-12.7	-5.96
-6.09	19.9
25.5	10.5
7	12.2
22.2	23
-3.16	10.4
16	2
-25.5	-23.4
14.6	11.2
3.42	8.8
4.68	-1.04
8.27	-25.1
-30.2	-20.3
-26.4	-24.3
28.2	3.38
-3.67	-9.98
-42.6	-7.06
56.7	9.9
8.29	4.12
10.1	17.7
22.8	10.1
-15	-17.8
72.9	36.3
-4.84	-17.7
-46.1	-9.05
-23.3	-13.4
49.8	16
3.16	13.9
13.7	11.6
-9.14	-7.73
55.8	21.3
24.9	31.8
-9.69	-7.77
1.22	-5.15
3.69	21.8
-13.7	-7.61
-13	5
-27.9	-18.2
61.4	18.9
-10.2	-5.68
